,Datetime,Prediction
139,2018-07-30 19:00:00,3282.0
140,2018-07-30 20:00:00,3321.0
141,2018-07-30 21:00:00,3360.0
142,2018-07-30 22:00:00,3396.0
143,2018-07-30 23:00:00,3415.0
144,2018-07-31 00:00:00,3411.0
145,2018-07-31 01:00:00,3388.0
146,2018-07-31 02:00:00,3358.0
147,2018-07-31 03:00:00,3324.0
148,2018-07-31 04:00:00,3289.0
149,2018-07-31 05:00:00,3253.0
150,2018-07-31 06:00:00,3223.0
151,2018-07-31 07:00:00,3194.0
152,2018-07-31 08:00:00,3171.0
153,2018-07-31 09:00:00,3143.0
154,2018-07-31 10:00:00,3119.0
155,2018-07-31 11:00:00,3099.0
156,2018-07-31 12:00:00,3085.0
157,2018-07-31 13:00:00,3079.0
158,2018-07-31 14:00:00,3088.0
159,2018-07-31 15:00:00,3104.0
160,2018-07-31 16:00:00,3138.0
161,2018-07-31 17:00:00,3180.0
162,2018-07-31 18:00:00,3227.0
163,2018-07-31 19:00:00,3271.0
164,2018-07-31 20:00:00,3316.0
165,2018-07-31 21:00:00,3359.0
166,2018-07-31 22:00:00,3391.0
167,2018-07-31 23:00:00,3401.0
168,2018-08-01 00:00:00,3394.0
169,2018-08-01 01:00:00,3364.0
170,2018-08-01 02:00:00,3334.0
171,2018-08-01 03:00:00,3299.0
172,2018-08-01 04:00:00,3270.0
173,2018-08-01 05:00:00,3234.0
174,2018-08-01 06:00:00,3201.0
175,2018-08-01 07:00:00,3174.0
176,2018-08-01 08:00:00,3150.0
177,2018-08-01 09:00:00,3124.0
178,2018-08-01 10:00:00,3100.0
179,2018-08-01 11:00:00,3083.0
180,2018-08-01 12:00:00,3071.0
181,2018-08-01 13:00:00,3067.0
182,2018-08-01 14:00:00,3073.0
183,2018-08-01 15:00:00,3092.0
184,2018-08-01 16:00:00,3126.0
185,2018-08-01 17:00:00,3169.0
186,2018-08-01 18:00:00,3211.0
187,2018-08-01 19:00:00,3254.0
188,2018-08-01 20:00:00,3299.0
189,2018-08-01 21:00:00,3340.0
190,2018-08-01 22:00:00,3371.0
191,2018-08-01 23:00:00,3386.0
